Tool,Isolation,Optimization Target,Cell Type,Capacity (KB),Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
Destiny,iso_area,WriteDynamicEnergy,SRAM,128,221071,0.276,0.188,233.496,204.778,34.9891,34.5166,53.9581
Destiny,iso_area,WriteDynamicEnergy,SRAM,256,221314,0.276,0.188,233.496,204.778,64.2576,63.7852,107.916
Destiny,iso_area,WriteDynamicEnergy,SRAM,512,221800,0.276,0.188,233.496,204.778,125.217,124.745,215.833
Destiny,iso_area,WriteDynamicEnergy,SRAM,1024,222772,0.277,0.188,233.496,204.778,256.825,256.352,431.665
Destiny,iso_area,WriteDynamicEnergy,SRAM,2048,386862,0.387,0.276,123.416,109.725,263.058,262.166,986.154
Destiny,iso_area,WriteDynamicEnergy,SRAM,4096,481254,0.511,0.346,118.21,101.762,269.835,268.91,1176.73
Destiny,iso_area,WriteDynamicEnergy,RRAM,16,280125,1.81312,20.1811,10.1778,0.798,44.4326,408.316,620.88
Destiny,iso_area,WriteDynamicEnergy,RRAM,32,667765,2.3575,20.4833,10.2451,0.795,57.74,421.764,1243.37
Destiny,iso_area,WriteDynamicEnergy,RRAM,64,483314,2.02264,20.2975,9.91921,0.794,48.113,410.779,1267.03
Destiny,iso_area,WriteDynamicEnergy,RRAM,128,966627,2.57263,20.5725,9.91921,0.794,64.8628,427.529,2534.05
Destiny,iso_area,WriteDynamicEnergy,RRAM,256,1091260.0,2.45032,20.4668,9.16191,0.794,66.3536,426.227,2721.73
Destiny,iso_area,WriteDynamicEnergy,RRAM,512,2182510.0,3.143,20.8131,9.16191,0.794,85.4509,445.324,5443.46
Destiny,iso_area,WriteDynamicEnergy,RRAM,1024,3263030.0,3.43229,20.9428,9.08209,0.795,112.362,472.08,11143.0
Destiny,iso_area,WriteDynamicEnergy,RRAM,2048,5340290.0,4.673,21.4448,7.94826,0.794,127.573,481.861,13723.1
Destiny,iso_area,WriteDynamicEnergy,RRAM,4096,5373660.0,4.67301,21.4448,7.94826,0.794,142.375,496.664,27446.2
Destiny,iso_area,WriteDynamicEnergy,PCRAM,16,49250.6,0.162,150.107,186.542,0.107,251.548,11532.2,23.5999
Destiny,iso_area,WriteDynamicEnergy,PCRAM,32,81812.6,0.162,150.107,186.542,0.107,265.678,11546.3,47.1998
Destiny,iso_area,WriteDynamicEnergy,PCRAM,64,140280,0.284,150.178,108.897,0.107,498.629,11539.8,128.885
Destiny,iso_area,WriteDynamicEnergy,PCRAM,128,173085,0.284,150.178,108.897,0.107,512.96,11554.2,257.77
Destiny,iso_area,WriteDynamicEnergy,PCRAM,256,518061,0.768,150.409,79.7082,0.107,999.14,11561.2,745.385
Destiny,iso_area,WriteDynamicEnergy,PCRAM,512,551109,0.768,150.409,79.7082,0.107,1013.67,11575.7,1490.77
Destiny,iso_area,WriteDynamicEnergy,PCRAM,1024,551352,0.768,150.409,79.7082,0.107,1043.35,11605.4,2981.54
